Metric,Value,Implication
School Year - Teen Suicide Peaks,Peak during school months,School attendance correlates with suicide
Summer Break - Teen Suicide Lowest,Lowest in June-August,School break correlates with reduced suicide
Increase in Suicides When Returning In-Person (2020-2021),12-18% increase,In-person schools increase suicide risk
Moderate-to-Severe Depression (Traditional Schools),44% of students (2022),Decreased but still critically high
Moderate-to-Severe Depression (College Students 2025),37% of students (2025),Slight improvement trend
Suicidal Ideation (15% in 2022),15% of high school students,Among highest in developed world
Suicidal Ideation (2025),11% of college students,Declining but persistent crisis
High School Students with Chronic Stress,51% of German teenagers,Chronic stress pathology
High School Students with Chronic Exhaustion,36% of German teenagers,Burnout in adolescence
Severe Depression Among 18-24 Year Olds (Germany),37% of 18-24 year-olds,Epidemic levels
