Autonomy_1,Autonomy_2,Autonomy_3,Autonomy_4,Autonomy_5,Intrinsic_Motivation_1,Intrinsic_Motivation_2,Intrinsic_Motivation_3,Intrinsic_Motivation_4,Intrinsic_Motivation_5,Social_Participation_1,Social_Participation_2,Social_Participation_3,Social_Participation_4,Social_Participation_5,Resilience_1,Resilience_2,Resilience_3,Resilience_4,Resilience_5,Authenticity_1,Authenticity_2,Authenticity_3,Authenticity_4,Authenticity_5
4,4,4,4,4,4,4,5,4,4,3,5,4,4,4,4,5,3,4,4,3,4,4,4,4
5,3,4,3,4,3,3,2,2,2,5,5,5,4,4,4,2,4,2,3,1,1,2,3,2
4,3,4,5,4,3,3,3,3,3,3,3,3,2,3,4,4,4,4,3,2,3,3,2,2
4,4,4,4,5,4,4,4,4,3,5,4,4,4,3,4,5,4,4,5,5,4,4,4,4
4,4,3,4,3,3,3,3,3,4,5,4,4,4,4,2,2,1,1,2,3,4,4,4,4
3,4,2,5,3,5,4,4,4,4,3,4,3,2,4,2,4,2,3,3,5,4,2,4,4
5,4,5,4,5,3,4,4,5,3,3,3,4,3,4,4,3,4,4,4,4,4,4,4,3
3,5,4,4,4,3,3,3,3,3,4,4,3,3,3,4,3,3,4,3,4,4,4,5,4
2,3,3,3,2,3,4,3,3,3,4,4,3,5,4,3,3,3,2,4,3,3,3,3,3
4,4,4,4,4,2,3,2,2,2,4,2,2,3,3,4,4,2,4,3,3,2,4,3,4
4,3,2,2,3,5,2,3,3,3,3,3,5,4,3,4,4,3,4,3,3,4,3,3,5
3,4,3,3,4,3,5,5,5,4,4,3,4,5,4,3,3,4,2,4,3,3,4,2,2
4,4,3,3,4,4,5,5,4,4,5,4,4,5,4,5,5,4,4,4,5,4,5,3,4
2,3,1,2,1,2,3,2,3,2,4,5,4,4,5,5,3,3,3,3,2,1,2,3,3
1,1,2,2,3,3,3,5,4,3,4,5,4,5,4,4,5,4,3,3,5,4,4,5,5
3,4,3,4,3,4,4,3,4,4,3,3,3,3,2,3,3,3,3,4,3,5,5,4,5
2,3,4,2,3,3,4,3,3,2,4,5,5,4,3,3,3,1,2,2,4,4,5,3,4
4,4,4,4,5,3,3,4,3,3,4,3,4,4,4,3,4,3,4,4,5,5,4,5,4
3,3,3,3,3,3,4,4,4,3,5,3,4,4,5,4,4,4,4,3,4,5,4,4,5
1,1,2,2,2,3,3,2,3,2,3,3,3,2,2,3,3,4,4,4,5,4,4,5,5
5,4,3,5,4,3,3,4,4,4,3,3,3,3,3,4,3,5,4,4,2,3,1,2,3
3,4,3,4,3,4,4,4,4,5,2,3,2,4,2,4,5,5,4,4,2,2,2,2,3
3,4,4,3,4,4,2,4,4,5,1,1,1,1,2,4,5,4,4,4,3,3,2,4,4
3,2,4,2,3,4,4,5,5,4,4,3,4,3,2,3,4,3,4,3,4,3,3,5,4
4,3,3,3,3,4,2,3,2,2,3,2,4,3,3,5,5,5,4,4,4,4,4,4,5
4,3,4,4,4,3,2,2,2,2,3,4,3,3,4,3,3,3,4,4,2,3,3,3,3
2,3,3,2,3,3,5,4,5,4,5,4,4,3,3,2,1,2,2,2,3,4,5,4,4
4,4,3,3,5,4,3,4,4,4,5,4,5,4,4,2,3,3,2,3,3,3,2,3,3
3,3,4,3,3,4,4,4,4,4,5,4,5,4,5,2,2,2,2,2,3,4,4,3,4
4,4,4,3,5,5,5,5,5,4,3,2,4,3,3,3,4,3,3,3,3,2,2,4,2
